X,Y,NAME,LAYER,GM_TYPE,MAP_NAME,<img_src,KML_STYLE,gx_media_l,icon_url
81.9167355,25.4234477,"3/554, Phulpur, Phoolpur, Uttar Pradesh 211019
","<img src=""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/7ffp84vripp3eek8m68kc545tg/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpq5LRPYgdgkS5ayyY43FduGNs8ME5SaHaZN6Tmr6izBxI7",Unknown Point Feature,Containment Zone_02.05.2021.kml,"""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/7ffp84vripp3eek8m68kc545tg/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpq5LRPYgdgkS5ayyY43FduGNs8ME5SaHaZN6Tmr6izBxI718IKDrBYP",icon-1899-DB4436,https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/7ffp84vripp3eek8m68kc545tg/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpq5LRPYgdgkS5ayyY43FduGNs8ME5SaHaZN6Tmr6izBxI718IKDrBYPU,
81.9293283,25.4253832,"GC169, Trivenipuram, GC169, Phoolpur, Uttar Pradesh 211019","<img src=""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ggumcbemce16dn8hondn6pj0eo/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpu3jkfIXx6ysj_janSxlaJ6tNYYgcuAMx4S-XuyoKUgFTz",Unknown Point Feature,Containment Zone_02.05.2021.kml,"""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ggumcbemce16dn8hondn6pj0eo/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpu3jkfIXx6ysj_janSxlaJ6tNYYgcuAMx4S-XuyoKUgFTztOYIsIUi-",icon-1899-DB4436,https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ggumcbemce16dn8hondn6pj0eo/1620096741250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpu3jkfIXx6ysj_janSxlaJ6tNYYgcuAMx4S-XuyoKUgFTztOYIsIUi-H,
81.9276466,25.4255391,"GD127, Trivenipuram, Phulpur, Phoolpur, Uttar Pradesh 211019","<img src=""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ngs3pa6h07vifdk6vmljav64qg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrbnn45rDN0sSuP6irI2e62xITvP7zBnsecv2VEGnXwjfKu",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ngs3pa6h07vifdk6vmljav64qg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrbnn45rDN0sSuP6irI2e62xITvP7zBnsecv2VEGnXwjfKuRZHbkzKdQ",icon-1899-DB4436-labelson,https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ngs3pa6h07vifdk6vmljav64qg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrbnn45rDN0sSuP6irI2e62xITvP7zBnsecv2VEGnXwjfKuRZHbkzKdQr,
81.75347017,25.44509456,11C/A SHAMIM MARKET COLONY BAMRAULI PRAYAGRAJ UTTAR PRADESH,"<img src=""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/92ord57ojme10srcek9r1qdip4/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALolopSgFLnr3Yl8ne4J_spCQdpOkgrGwwHvK2F3Rd0bWeGX",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/92ord57ojme10srcek9r1qdip4/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALolopSgFLnr3Yl8ne4J_spCQdpOkgrGwwHvK2F3Rd0bWeGX_ROV2TUuh",icon-1899-DB4436-labelson,https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/92ord57ojme10srcek9r1qdip4/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALolopSgFLnr3Yl8ne4J_spCQdpOkgrGwwHvK2F3Rd0bWeGX_ROV2TUuhS,
81.74810337,25.45238718,15B/1A/2 LAXMI NAGAR LANE NO. 8 VVISHNAPURI COLONY GHYASUDDINPUR PHONGHAT PRAYAGRAJ TTAR PRADESH,"<img src=""https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/s1veng1eq06idvl49dm6rfhqtk/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALriFuPn7wqCzbMqrHwonlT2rC5Dpfg0aFSCS8K39oj1Klt-",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/s1veng1eq06idvl49dm6rfhqtk/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALriFuPn7wqCzbMqrHwonlT2rC5Dpfg0aFSCS8K39oj1Klt-kojfzagKj",icon-1899-DB4436-labelson,https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/s1veng1eq06idvl49dm6rfhqtk/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALriFuPn7wqCzbMqrHwonlT2rC5Dpfg0aFSCS8K39oj1Klt-kojfzagKjx,
81.767286,25.4439369,"Vivek Marg, North Central Railway Colony, Harwara, Dhoomanganj, Prayagraj, Uttar Pradesh 211011
","<img src=""https://doc-0o-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/gi3obr34tgvk8f4e4isa66on88/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpos3e3rNNHjgiECN3OejjAKWQezXagcGpGtVNwglBsxcCx",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-0o-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/gi3obr34tgvk8f4e4isa66on88/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpos3e3rNNHjgiECN3OejjAKWQezXagcGpGtVNwglBsxcCxHU7_CTX_Z",icon-1899-DB4436-labelson,https://doc-0o-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/gi3obr34tgvk8f4e4isa66on88/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpos3e3rNNHjgiECN3OejjAKWQezXagcGpGtVNwglBsxcCxHU7_CTX_Zf,
81.765684,25.442954,S  N ANDEY RAILGAON NOTH CENTRAL RAILWAY COLONY DHOOMANGANJ PRAYAGRAJ UTTAR PRADESH,"<img src=""https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/bad5cot2bf592r5ttu64ljpi24/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALp4s4HQ3CTJ4wRmmJbQRNkBmOlRMe9ABgRp-eXKOJ_egeeo",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/bad5cot2bf592r5ttu64ljpi24/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALp4s4HQ3CTJ4wRmmJbQRNkBmOlRMe9ABgRp-eXKOJ_egeeoejrtIwdoq",icon-1899-DB4436-labelson,https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/bad5cot2bf592r5ttu64ljpi24/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALp4s4HQ3CTJ4wRmmJbQRNkBmOlRMe9ABgRp-eXKOJ_egeeoejrtIwdoqD,
81.7795331,25.451722,"MIG234, Kanhaipur, MIG Preetam Nagar Colony, Dhoomanganj, Prayagraj, Uttar Pradesh 211001
","<img src=""https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/tn7e5q9a2vaa9qac9csmgijfbg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrzwGl1SHbYkOu2E6MR3K93z3ZaZyVqK1T8_gSepWa1lHx1",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/tn7e5q9a2vaa9qac9csmgijfbg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrzwGl1SHbYkOu2E6MR3K93z3ZaZyVqK1T8_gSepWa1lHx1Z2M9ADFbV",icon-1899-DB4436-labelson,https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/tn7e5q9a2vaa9qac9csmgijfbg/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrzwGl1SHbYkOu2E6MR3K93z3ZaZyVqK1T8_gSepWa1lHx1Z2M9ADFbVA,
81.7746852,25.4419523,"Sangam Marg, Harwara, Subedarganj, Prayagraj, Uttar Pradesh 211011
","<img src=""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/8j7nlfc1hjh831fq2v3h55ma34/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrfS29pF39U8H09tAYdXiv_75wrXEjbVSRuyxw4Pk2EpaNw",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/8j7nlfc1hjh831fq2v3h55ma34/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrfS29pF39U8H09tAYdXiv_75wrXEjbVSRuyxw4Pk2EpaNwrfp6yOM7r",icon-1899-DB4436-labelson,https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/8j7nlfc1hjh831fq2v3h55ma34/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrfS29pF39U8H09tAYdXiv_75wrXEjbVSRuyxw4Pk2EpaNwrfp6yOM7rZ,
81.7696018,25.4434677,"Shopping Complex, North Central Railway Colony, Harwara, Dhoomanganj, Prayagraj, Uttar Pradesh 211011","<img src=""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hifgm0nftmv0j75fqa25sue85g/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpfzBm0SN5vl9Pmy8jilqd5DeSPr-jFDuW1zpFNXayMo6Me",Unknown Point Feature,Containment Zone_03.05.2021.kml,"""https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hifgm0nftmv0j75fqa25sue85g/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpfzBm0SN5vl9Pmy8jilqd5DeSPr-jFDuW1zpFNXayMo6Meh7N1DuE3z",icon-1899-DB4436-labelson,https://doc-00-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hifgm0nftmv0j75fqa25sue85g/1620138302250/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpfzBm0SN5vl9Pmy8jilqd5DeSPr-jFDuW1zpFNXayMo6Meh7N1DuE3zQ,
